"Experiment" "SRA_Sample" "Sample_Name" "Grupo_analisis" "body_site" "molecular_data_type" "sex" "Group" "ShortName"
"1" "SRX222777" "SRS389744" "GTEX-QEL4-0726-SM-3GIJ5" 1 "Thyroid" "Allele-Specific Expression" "male" "NIT" "QEL4-_NIT"
"2" "SRX604580" "SRS639146" "GTEX-132AR-1126-SM-5P9GA" 1 "Thyroid" "Allele-Specific Expression" "female" "NIT" "132AR_NIT"
"3" "SRX605489" "SRS639266" "GTEX-ZDYS-0626-SM-5J2N5" 1 "Thyroid" "RNA Seq (NGS)" "male" "NIT" "ZDYS-_NIT"
"4" "SRX576876" "SRS629440" "GTEX-ZTPG-0826-SM-5DUVC" 1 "Thyroid" "RNA Seq (NGS)" "female" "NIT" "ZTPG-_NIT"
"5" "SRX625353" "SRS646077" "GTEX-ZTX8-0626-SM-59HKC" 1 "Thyroid" "RNA Seq (NGS)" "male" "NIT" "ZTX8-_NIT"
"6" "SRX203921" "SRS374921" "GTEX-RU1J-0226-SM-2TF5Y" 1 "Thyroid" "RNA Seq (NGS)" "female" "NIT" "RU1J-_NIT"
"7" "SRX595327" "SRS636334" "GTEX-139T6-0326-SM-5J2LY" 1 "Thyroid" "RNA Seq (NGS)" "male" "NIT" "139T6_NIT"
"8" "SRX566455" "SRS626599" "GTEX-13S86-1126-SM-5RQJX" 1 "Thyroid" "RNA Seq (NGS)" "male" "NIT" "13S86_NIT"
"9" "SRX602343" "SRS638249" "GTEX-13NZA-1026-SM-5MR48" 1 "Thyroid" "Allele-Specific Expression" "male" "NIT" "13NZA_NIT"
"10" "SRX570143" "SRS627437" "GTEX-13VXU-0826-SM-5KLZ2" 1 "Thyroid" "Allele-Specific Expression" "male" "NIT" "13VXU_NIT"
"11" "SRX568916" "SRS627158" "GTEX-14BMU-0226-SM-5S2QA" 3 "Thyroid" "Allele-Specific Expression" "female" "ELI" "14BMU_ELI"
"12" "SRX628009" "SRS648152" "GTEX-11NV4-0626-SM-5N9BR" 3 "Thyroid" "RNA Seq (NGS)" "male" "ELI" "11NV4_ELI"
"13" "SRX575932" "SRS629299" "GTEX-14ABY-0926-SM-5Q5DY" 3 "Thyroid" "Allele-Specific Expression" "male" "ELI" "14ABY_ELI"
"14" "SRX222429" "SRS389623" "GTEX-TMMY-0826-SM-33HB9" 3 "Thyroid" "Allele-Specific Expression" "female" "ELI" "TMMY-_ELI"
"15" "SRX615373" "SRS644099" "GTEX-YFC4-2626-SM-5P9FQ" 3 "Thyroid" "Allele-Specific Expression" "female" "ELI" "YFC4-_ELI"
"16" "SRX607358" "SRS639491" "GTEX-14AS3-0226-SM-5Q5B6" 3 "Thyroid" "RNA Seq (NGS)" "female" "ELI" "14AS3_ELI"
"17" "SRX204036" "SRS374975" "GTEX-R55G-0726-SM-2TC6J" 3 "Thyroid" "RNA Seq (NGS)" "female" "ELI" "R55G-_ELI"
"18" "SRX583148" "SRS631283" "GTEX-YJ89-0726-SM-5P9F7" 3 "Thyroid" "RNA Seq (NGS)" "male" "ELI" "YJ89-_ELI"
"19" "SRX563960" "SRS625636" "GTEX-111VG-0526-SM-5N9BW" 3 "Thyroid" "RNA Seq (NGS)" "male" "ELI" "111VG_ELI"
"20" "SRX568364" "SRS627095" "GTEX-ZYY3-1926-SM-5GZXS" 3 "Thyroid" "Allele-Specific Expression" "female" "ELI" "ZYY3-_ELI"
"21" "SRX601535" "SRS638117" "GTEX-12ZZX-1226-SM-5EGHS" 2 "Thyroid" "RNA Seq (NGS)" "female" "SFI" "12ZZX_SFI"
"22" "SRX602822" "SRS638320" "GTEX-13FXS-0726-SM-5LZXJ" 2 "Thyroid" "RNA Seq (NGS)" "male" "SFI" "13FXS_SFI"
"23" "SRX576955" "SRS629456" "GTEX-1211K-0726-SM-5FQUW" 2 "Thyroid" "Allele-Specific Expression" "female" "SFI" "1211K_SFI"
"24" "SRX577086" "SRS629471" "GTEX-ZYVF-1126-SM-5E458" 2 "Thyroid" "Allele-Specific Expression" "female" "SFI" "ZYVF-_SFI"
"25" "SRX619524" "SRS644703" "GTEX-11EQ8-0826-SM-5N9FG" 2 "Thyroid" "Allele-Specific Expression" "male" "SFI" "11EQ8_SFI"
"26" "SRX600771" "SRS638002" "GTEX-12584-0826-SM-5FQSK" 2 "Thyroid" "RNA Seq (NGS)" "male" "SFI" "12584_SFI"
"27" "SRX596173" "SRS636582" "GTEX-131XF-1826-SM-5EGKG" 2 "Thyroid" "RNA Seq (NGS)" "male" "SFI" "131XF_SFI"
"28" "SRX567279" "SRS626844" "GTEX-12ZZY-0826-SM-5EQMT" 2 "Thyroid" "RNA Seq (NGS)" "male" "SFI" "12ZZY_SFI"
"29" "SRX597594" "SRS637292" "GTEX-ZLV1-0126-SM-4WWBZ" 2 "Thyroid" "Allele-Specific Expression" "female" "SFI" "ZLV1-_SFI"
"30" "SRX572541" "SRS627900" "GTEX-131YS-0726-SM-5P9G9" 2 "Thyroid" "Allele-Specific Expression" "female" "SFI" "131YS_SFI"
